,YouTubeID,Title,Description,Duration,Duration_HHMMSS,Duration_Seconds
508,MrB3suhhgzU,A Criação - Língua de Sinais de Moçambique - FGH - Intro,"A Criação - Gênesis 1.1-31, 2.1-3
Língua de Sinais de Moçambique - Siga Deus como história 1",PT1M34S,0:1:34,94.0
509,OgT56vy7y7I,A Criação - Língua de Sinais de Moçambique - FGH - Tema,"A Criação - Gênesis 1.1-31, 2.1-3
Língua de Sinais de Moçambique - Siga Deus como história 1",PT18S,0:0:18,18.0
510,tlwqMDJspaw,Introdução geral - Língua de Sinais de Moçambique - FGH,"Introdução geral
Língua de Sinais de Moçambique - Siga Deus como história 0",PT4M33S,0:4:33,273.0
511,atFgnu8UEHw,A Comunhão dos Crentes - Língua de Sinais de Moçambique - KGH - Diálogo,"A Comunhão dos Crentes - Atos 2.42-47
Língua de Sinais de Moçambique - Conheça a Deus como história 32",PT3M51S,0:3:51,231.0
512,nnEhKeYchk4,A Comunhão dos Crentes - Língua de Sinais de Moçambique - KGH - História,"A Comunhão dos Crentes - Atos 2.42-47
Língua de Sinais de Moçambique - Conheça a Deus como história 32",PT2M10S,0:2:10,130.0
513,0IDvuq9HJs0,A Comunhão dos Crentes - Língua de Sinais de Moçambique - KGH - Intro,"A Comunhão dos Crentes - Atos 2.42-47
Língua de Sinais de Moçambique - Conheça a Deus como história 32",PT1M54S,0:1:54,114.0
514,xiz2CPuqAEw,A Comunhão dos Crentes - Língua de Sinais de Moçambique - KGH - Tema,"A Comunhão dos Crentes - Atos 2.42-47
Língua de Sinais de Moçambique - Conheça a Deus como história 32",PT15S,0:0:15,15.0
515,cDujEugB_wI,Deus Envia o Espírito Santo - Língua de Sinais de Moçambique - KGH - Diálogo,"Deus Envia o Espírito Santo - Atos 2.1-41
Língua de Sinais de Moçambique - Conheça a Deus como história 31",PT12M58S,0:12:58,778.0
516,eMvIVB4xjYg,Deus Envia o Espírito Santo - Língua de Sinais de Moçambique - KGH - História,"Deus Envia o Espírito Santo - Atos 2.1-41
Língua de Sinais de Moçambique - Conheça a Deus como história 31",PT11M8S,0:11:8,668.0
517,sGz9ZLIP7DI,Deus Envia o Espírito Santo - Língua de Sinais de Moçambique - KGH - Mais Inform,"Deus Envia o Espírito Santo - Atos 2.1-41
Língua de Sinais de Moçambique - Conheça a Deus como história 31",PT1M45S,0:1:45,105.0
518,B656A0pQKzM,Deus Envia o Espírito Santo - Língua de Sinais de Moçambique - KGH - Intro,"Deus Envia o Espírito Santo - Atos 2.1-41
Língua de Sinais de Moçambique - Conheça a Deus como história 31",PT2M50S,0:2:50,170.0
519,-d_YCb1KPv8,Deus Envia o Espírito Santo - Língua de Sinais de Moçambique - KGH - Tema,"Deus Envia o Espírito Santo - Atos 2.1-41
Língua de Sinais de Moçambique - Conheça a Deus como história 31",PT18S,0:0:18,18.0
520,MnEMQxwDAAI,Jesus Comissiona os Discípulos e Vai para o Céu - Língua de Sinais de Moçambique - KGH - Diálogo,"Jesus Comissiona os Discípulos e Vai para o Céu - Mateus 28.16-20; Atos 1.4-12
Língua de Sinais de Moçambique - Conheça a Deus como história 30",PT10M22S,0:10:22,622.0
521,U0GpTt39fSU,Jesus Comissiona os Discípulos e Vai para o Céu - Língua de Sinais de Moçambique - KGH - História,"Jesus Comissiona os Discípulos e Vai para o Céu - Mateus 28.16-20; Atos 1.4-12
Língua de Sinais de Moçambique - Conheça a Deus como história 30",PT4M14S,0:4:14,254.0
522,lJ0Df15saok,Jesus Comissiona os Discípulos e Vai para o Céu - Língua de Sinais de Moçambique - KG -Mais Inform,"Jesus Comissiona os Discípulos e Vai para o Céu - Mateus 28.16-20; Atos 1.4-12
Língua de Sinais de Moçambique - Conheça a Deus como história 30",PT2M30S,0:2:30,150.0
523,eu8rMuSDEcU,Jesus Comissiona os Discípulos e Vai para o Céu - Língua de Sinais de Moçambique - KGH - Intro,"Jesus Comissiona os Discípulos e Vai para o Céu - Mateus 28.16-20; Atos 1.4-12
Língua de Sinais de Moçambique - Conheça a Deus como história 30",PT1M43S,0:1:43,103.0
524,4mdLljhytKI,Jesus Comissiona os Discípulos e Vai para o Céu - Língua de Sinais de Moçambique - KGH - Tema,"Jesus Comissiona os Discípulos e Vai para o Céu - Mateus 28.16-20; Atos 1.4-12
Língua de Sinais de Moçambique - Conheça a Deus como história 30",PT22S,0:0:22,22.0
525,E1HRjTeUB3Y,A Ressurreição de Jesus - Língua de Sinais de Moçambique - KGH - Diálogo,"A Ressurreição de Jesus - Mateus 28.1-4; João 20.1-18
Língua de Sinais de Moçambique - Conheça a Deus como história 29",PT5M18S,0:5:18,318.0
526,U-PHe5LDmNw,A Ressurreição de Jesus - Língua de Sinais de Moçambique - KGH - História,"A Ressurreição de Jesus - Mateus 28.1-4; João 20.1-18
Língua de Sinais de Moçambique - Conheça a Deus como história 29",PT4M37S,0:4:37,277.0
527,0Gg5I7gFGVA,A Ressurreição de Jesus - Língua de Sinais de Moçambique - KGH - Mais Inform,"A Ressurreição de Jesus - Mateus 28.1-4; João 20.1-18
Língua de Sinais de Moçambique - Conheça a Deus como história 29",PT2M25S,0:2:25,145.0
528,EvKuBU2ZBdg,A Ressurreição de Jesus - Língua de Sinais de Moçambique - KGH - Intro,"A Ressurreição de Jesus - Mateus 28.1-4; João 20.1-18
Língua de Sinais de Moçambique - Conheça a Deus como história 29",PT2M57S,0:2:57,177.0
529,3dvfSwMNeRI,A Ressurreição de Jesus - Língua de Sinais de Moçambique - KGH - Tema,"A Ressurreição de Jesus - Mateus 28.1-4; João 20.1-18
Língua de Sinais de Moçambique - Conheça a Deus como história 29",PT13S,0:0:13,13.0
530,38OJ7NnJR5M,Jesus é Crucifiado - Língua de Sinais de Moçambique - KGH - História,"Jesus é Crucifiado - Mateus 27.32-43; Lucas 23.34, 39-43; Mateus 27.45-56; João 19.31-42; Mateus 27.60-66
Língua de Sinais de Moçambique - Conheça a Deus como história 28",PT15M55S,0:15:55,955.0
531,5PBdzxjAGe4,Jesus é Crucifiado - Língua de Sinais de Moçambique - KGH - Diálogo,"Jesus é Crucifiado - Mateus 27.32-43; Lucas 23.34, 39-43; Mateus 27.45-56; João 19.31-42; Mateus 27.60-66
Língua de Sinais de Moçambique - Conheça a Deus como história 28",PT15M,0:15:0,900.0
532,HlhuFplzTko,Jesus é Crucifiado - Língua de Sinais de Moçambique - KGH - Mais Inform,"Jesus é Crucifiado - Mateus 27.32-43; Lucas 23.34, 39-43; Mateus 27.45-56; João 19.31-42; Mateus 27.60-66
Língua de Sinais de Moçambique - Conheça a Deus como história 28",PT6M32S,0:6:32,392.0
533,0JoWWvHx62Y,Jesus é Crucifiado - Língua de Sinais de Moçambique - KGH - Intro,"Jesus é Crucifiado - Mateus 27.32-43; Lucas 23.34, 39-43; Mateus 27.45-56; João 19.31-42; Mateus 27.60-66
Língua de Sinais de Moçambique - Conheça a Deus como história 28",PT3M12S,0:3:12,192.0
534,DDveVmO4AYw,Jesus é Crucifiado - Língua de Sinais de Moçambique - KGH - Tema,"Jesus é Crucifiado - Mateus 27.32-43; Lucas 23.34, 39-43; Mateus 27.45-56; João 19.31-42; Mateus 27.60-66
Língua de Sinais de Moçambique - Conheça a Deus como história 28",PT15S,0:0:15,15.0
535,pi3wJXc5mis,Pilatos e Herodes Interrogam Jesus - Língua de Sinais de Moçambique - KGH - Diálogo,"Pilatos e Herodes Interrogam Jesus - Lucas 23.1-16; Mateus 27.15-31
Língua de Sinais de Moçambique - Conheça a Deus como história 27",PT18M58S,0:18:58,1138.0
536,tKRQC64KdJU,Pilatos e Herodes Interrogam Jesus - Língua de Sinais de Moçambique - KGH - História,"Pilatos e Herodes Interrogam Jesus - Lucas 23.1-16; Mateus 27.15-31
Língua de Sinais de Moçambique - Conheça a Deus como história 27",PT13M24S,0:13:24,804.0
537,l5XSWdSl8Ds,Pilatos e Herodes Interrogam Jesus - Língua de Sinais de Moçambique - KGH - Mais Inform,"Pilatos e Herodes Interrogam Jesus - Lucas 23.1-16; Mateus 27.15-31
Língua de Sinais de Moçambique - Conheça a Deus como história 27",PT3M15S,0:3:15,195.0
538,45mwjgd2fZU,Pilatos e Herodes Interrogam Jesus - Língua de Sinais de Moçambique - KGH - Intro,"Pilatos e Herodes Interrogam Jesus - Lucas 23.1-16; Mateus 27.15-31
Língua de Sinais de Moçambique - Conheça a Deus como história 27",PT2M56S,0:2:56,176.0
