,YouTubeID,Title,Description,Duration,Duration_HHMMSS,Duration_Seconds
99,kHSb21b_lBU,Paul Preaches in Jerusalem - South Sudan Sign Language - SGH - Intro,"Paul Preaches in Jerusalem: Acts 9:26-31
South Sudan Sign Language - Serve God How Story 9",PT3M41S,0:3:41,221.0
100,JzYfEG30ohw,Paul Preaches in Jerusalem - South Sudan Sign Language - SGH - Story,"Paul Preaches in Jerusalem: Acts 9:26-31
South Sudan Sign Language - Serve God How Story 9",PT2M32S,0:2:32,152.0
101,Y9nQ4PtrCUw,Paul Preaches in Jerusalem - South Sudan Sign Language - SGH - More Info,"Paul Preaches in Jerusalem: Acts 9:26-31
South Sudan Sign Language - Serve God How Story 9",PT57S,0:0:57,57.0
102,RqjPDdkFH6E,Paul Preaches in Jerusalem - South Sudan Sign Language - SGH - Topic,"Paul Preaches in Jerusalem: Acts 9:26-31
South Sudan Sign Language - Serve God How Story 9",PT17S,0:0:17,17.0
103,NrFdn_C-5Z4,Saul's Life is Changed and he Follows Jesus - South Sudan Sign Language - SGH - Story,"Saul's Life is Changed and he Follows Jesus: Acts 9:1-25
South Sudan Sign Language - Serve God How Story 8",PT12M28S,0:12:28,748.0
104,UTiZ81iiDuo,Saul's Life is Changed and he Follows Jesus - South Sudan Sign Language - SGH - More Info,"Saul's Life is Changed and he Follows Jesus: Acts 9:1-25
South Sudan Sign Language - Serve God How Story 8",PT4M18S,0:4:18,258.0
105,xkXr0BJMi8o,Saul's Life is Changes and he Follows Jesus - South Sudan Sign Language - SGH - Intro,"Saul's Life is Changed and he Follows Jesus: Acts 9:1-25
South Sudan Sign Language - Serve God How Story 8",PT3M36S,0:3:36,216.0
106,ojhGMtHySg8,Saul's Life is Changed and he Follows Jesus - South Sudan Sign Language - SGH - Topic,"Saul's Life is Changed and he Follows Jesus: Acts 9:1-25
South Sudan Sign Language - Serve God How Story 8",PT17S,0:0:17,17.0
107,06AGsvLdaGQ,Philip and the Ethiopian Man - South Sudan Sign Language - SGH - Story,"Philip and the Ethiopian Man: Acts 8:26-40
South Sudan Sign Language - Serve God How Story 7",PT5M34S,0:5:34,334.0
108,RUxIECMHw8k,Philip and the Ethiopian Man - South Sudan Sign Language - SGH - Intro,"Philip and the Ethiopian Man: Acts 8:26-40
South Sudan Sign Language - Serve God How Story 7",PT4M3S,0:4:3,243.0
109,4jwgW2sIo0g,Philip and the Ethiopian Man - South Sudan Sign Language - SGH - Topic,"Philip and the Ethiopian Man: Acts 8:26-40
South Sudan Sign Language - Serve God How Story 7",PT11S,0:0:11,11.0
110,-Dyqz_Q3-Ik,Believers Choose Seven Men to Help the Church - South Sudan Sign Language - SGH - More Info,"Believers Choose Seven Men to Help the Church: Acts 6:1-7
South Sudan Sign Language - Serve God How Story 6",PT3M2S,0:3:2,182.0
111,y7NiRyXS_hQ,Believers Choose Seven Men to Help the Church - South Sudan Sign Language - SGH - Story,"Believers Choose Seven Men to Help the Church: Acts 6:1-7
South Sudan Sign Language - Serve God How Story 6",PT3M48S,0:3:48,228.0
112,XSfeGSJMPqw,Believers Choose Seven Men to Help the Church - South Sudan Sign Language - SGH - Intro,"Believers Choose Seven Men to Help the Church: Acts 6:1-7
South Sudan Sign Language - Serve God How Story 6",PT2M30S,0:2:30,150.0
113,XMybBGDmaJo,Believers Choose Seven Men to Help the Church - South Sudan Sign Language - SGH - Topic,"Believers Choose Seven Men to Help the Church: Acts 6:1-7
South Sudan Sign Language - Serve God How Story 6",PT16S,0:0:16,16.0
114,nhT-qcK9Xmo,Angel Frees Apostles from Prison - South Sudan Sign Language - SGH - Story,"Angel Frees Apostles from Prison: Acts 5:12-42
South Sudan Sign Language - Serve God How Story 5",PT12M31S,0:12:31,751.0
115,VWnAQGSUGcc,Angel Frees Apostles from Prison - South Sudan Sign Language - SGH - Intro,"Angel Frees Apostles from Prison: Acts 5:12-42
South Sudan Sign Language - Serve God How Story 5",PT2M22S,0:2:22,142.0
116,Ap31z24y2Hw,Angel Frees Apostles from Prison - South Sudan Sign Language - SGH - More Info,"Angel Frees Apostles from Prison: Acts 5:12-42
South Sudan Sign Language - Serve God How Story 5",PT45S,0:0:45,45.0
117,z4yal5GkfdA,Angel Frees Apostles from Prison - South Sudan Sign Language - SGH - Topic,"Angel Frees Apostles from Prison: Acts 5:12-42
South Sudan Sign Language - Serve God How Story 5",PT15S,0:0:15,15.0
118,hVpViXOKiVU,God Punishes Ananias and Sapphira for Telling a Lie - South Sudan Sign Language - SGH - Story,"God Punishes Ananias and Sapphira for Telling a Lie: Acts 4:32-37; 5:1-11
South Sudan Sign Language - Serve God How Story 4",PT6M18S,0:6:18,378.0
119,hfTkTl9pUsc,God Punishes Ananias and Sapphira for Telling a Lie - South Sudan Sign Language - SGH - Intro,"God Punishes Ananias and Sapphira for Telling a Lie: Acts 4:32-37; 5:1-11
South Sudan Sign Language - Serve God How Story 4",PT5M51S,0:5:51,351.0
120,wZyv1dROL00,God Punishes Ananias and Sapphira for Telling a Lie - South Sudan Sign Language - SGH - More Info,"God Punishes Ananias and Sapphira for Telling a Lie: Acts 4:32-37; 5:1-11
South Sudan Sign Language - Serve God How Story 4",PT2M48S,0:2:48,168.0
121,ykraaoY4SLE,God Punishes Ananias and Sapphira for Telling a Lie - South Sudan Sign Language - SGH - Topic,"God Punishes Ananias and Sapphira for Telling a Lie: Acts 4:32-37; 5:1-11
South Sudan Sign Language - Serve God How Story 4",PT23S,0:0:23,23.0
122,QK_onT-G4Ac,"The Lame Man Healed, Peter and John Arrested - South Sudan Sign Language - SGH - Story","Lame Man Healed, Peter and John Arrested: Acts 3;1-26; 4:1-31
South Sudan Sign Language - Serve God How Story 3",PT22M49S,0:22:49,1369.0
123,XVTiYmEy3CI,"The Lame Man Healed, Peter and John Arrested - South Sudan Sign Language - More Info","Lame Man Healed, Peter and John Arrested: Acts 3;1-26; 4:1-31
South Sudan Sign Language - Serve God How Story 3",PT2M39S,0:2:39,159.0
124,y-8FzgY3h6g,"The Lame Man healed, Peter and John Arrested - South Sudan Sign Language - SGH - Intro","Lame Man Healed, Peter and John Arrested: Acts 3;1-26; 4:1-31
South Sudan Sign Language - Serve God How Story 3",PT3M38S,0:3:38,218.0
125,8ZQ2ovy4aX0,"Lame Man Healed, Peter and John Arrested - South Sudan Sign Language - SGH - Topic","Lame Man Healed, Peter and John Arrested: Acts 3;1-26; 4:1-31
South Sudan Sign Language - Serve God How Story 3",PT14S,0:0:14,14.0
126,aoKDTkegzhw,Believers' Fellowship - South Sudan Sign Language - SGH - More Info,"Believers' Fellowship: Acts 2:42-47
South Sudan Sign Language - Serve God How Story 2",PT4M10S,0:4:10,250.0
127,Febgae1z_Mo,Believers' Fellowship - South Sudan Sign Language - SGH - Story,"Believers' Fellowship: Acts 2:42-47
South Sudan Sign Language - Serve God How Story 2",PT2M38S,0:2:38,158.0
128,hQGJNHcoTqQ,Believers' Fellowship - South Sudan Sign Language - SGH - Intro,"Believers' Fellowship: Acts 2:42-47
South Sudan Sign Language - Serve God How Story 2",PT2M36S,0:2:36,156.0
129,bl1FdyLccbk,Believers' Fellowship - South Sudan Sign Language - SGH - Topic,"Believers' Fellowship: Acts 2:42-47
South Sudan Sign Language - Serve God How Story 2",PT25S,0:0:25,25.0
130,nmv0XY_PS_4,God Sends the Holy Spirit - South Sudan Sign Language - SGH - Story,"God Sends the Holy Spirit: Acts 2:1-24, 29-33, 36-41
South Sudan Sign Language - Serve God How Story 1",PT11M43S,0:11:43,703.0
131,A-2ZG_GlRZ0,God Sends the Holy Spirit - South Sudan Sign Language - SGH - More Info,"God Sends the Holy Spirit: Acts 2:1-24, 29-33, 36-41
South Sudan Sign Language - Serve God How Story 1",PT2M21S,0:2:21,141.0
132,sBnr3GRW6uo,God Sends the Holy Spirit - South Sudan Sign Language - SGH - Intro,"God Sends the Holy Spirit: Acts 2:1-24, 29-33, 36-41
South Sudan Sign Language - Serve God How Story 1",PT3M10S,0:3:10,190.0
133,R7qhcQDDtNY,God Sends the Holy Spirit - South Sudan Sign Language - SGH - Topic,"God Sends the Holy Spirit: Acts 2:1-24, 29-33, 36-41
South Sudan Sign Language - Serve God How Story 1",PT15S,0:0:15,15.0
134,I_m-8kFx-GI,General Introduction - South Sudan Sign Language - SGH,"General Introduction
South Sudan Sign Language - Serve God How Story 0",PT2M32S,0:2:32,152.0
