,YouTubeID,Title,Description,Duration,Duration_HHMMSS,Duration_Seconds
38,ooVFAc4gy4w,Topic - Paul is Imprisoned in Jerusalem - Nigerian Sign Language,"Paul is Imprisoned in Jerusalem - Acts 21:17-40, 22:1-30
Nigerian Sign Langauge - CBT 103, SGH 028",PT10S,0:0:10,10.0
39,7aT2tHcxFD4,Dialogue - Paul Teaches About Suffering - Nigerian Sign Language,"Paul Teaches About Suffering - 2 Corinthians 6:4-13
Nigerian Sign Language - CBT 102, SGH 027",PT5M55S,0:5:55,355.0
40,Ok5g-3MbEV0,More Information - Paul Teaches About Suffering - Nigerian Sign Language,"Paul Teaches About Suffering - 2 Corinthians 6:4-13
Nigerian Sign Language - CBT 102, SGH 027",PT3M8S,0:3:8,188.0
41,9czSeC5k0Uo,Story - Paul Teaches About Suffering - Nigerian Sign Language,"Paul Teaches About Suffering - 2 Corinthians 6:4-13
Nigerian Sign Language - CBT 102, SGH 027",PT7M38S,0:7:38,458.0
42,JUzZKJI6wbU,Introduction - Paul Teaches About Suffering - Nigerian Sign Language,"Paul Teaches About Suffering - 2 Corinthians 6:4-13
Nigerian Sign Language - CBT 102, SGH 027",PT4M7S,0:4:7,247.0
43,urhO1C_Xa3g,Topic - Paul Teaches About Suffering - Nigerian Sign Language,"Paul Teaches About Suffering - 2 Corinthians 6:4-13
Nigerian Sign Language - CBT 102, SGH 027",PT19S,0:0:19,19.0
44,yN38vWydWnQ,Dialogue - Paul Teaches About the Gifts of the Holy Spirit - Nigerian Sign Language,"Paul Teaches About the Gifts of the Holy Spirit - 1 Corinthians 12:1-31
Nigerian Sign Language - CBT 101, SGH 026",PT12M50S,0:12:50,770.0
45,7RAfaansHTI,More Information - Paul Teaches About the Gifts of the Holy Spirit - Nigerian Sign Language,"Paul Teaches About the Gifts of the Holy Spirit - 1 Corinthians 12:1-31
Nigerian Sign Language - CBT 101, SGH 026",PT11M11S,0:11:11,671.0
46,hxCMV8-_wgY,Story - Paul Teaches About the Gifts of the Holy Spirit - Nigerian Sign Language,"Paul Teaches About the Gifts of the Holy Spirit - 1 Corinthians 12:1-31
Nigerian Sign Language - CBT 101, SGH 026",PT18M4S,0:18:4,1084.0
47,ApsFV8ZXjRI,Introduction - Paul Teaches About the Gifts of the Holy Spirit - Nigerian Sign Language,"Paul Teaches About the Gifts of the Holy Spirit - 1 Corinthians 12:1-31
Nigerian Sign Language - CBT 101, SGH 026",PT1M23S,0:1:23,83.0
48,GO_4gkV7WtY,Topic - Paul Teaches About the Gifts of the Holy Spirit - Nigerian Sign Language,"Paul Teaches About the Gifts of the Holy Spirit - 1 Corinthians 12:1-31
Nigerian Sign Language - CBT 101, SGH 026",PT16S,0:0:16,16.0
49,BbNdIsaybwU,Dialogue - Paul Teaches About the Lord's Supper - Nigerian Sign Language,"Paul Teaches About the Lord's Supper - 1 Corinthians 11:17-34
Nigerian Sign Language - CBT 100, SGH 025",PT11M35S,0:11:35,695.0
50,NHTo2iFZXkQ,More Information - Paul Teaches About the Lord's Supper - Nigerian Sign Language,"Paul Teaches About the Lord's Supper - 1 Corinthians 11:17-34
Nigerian Sign Language - CBT 100, SGH 025",PT5M42S,0:5:42,342.0
51,LNL3XfQYwdg,Story - Paul Teaches About the Lord's Supper - Nigerian Sign Language,"Paul Teaches About the Lord's Supper - 1 Corinthians 11:17-34
Nigerian Sign Language - CBT 100, SGH 025",PT6M58S,0:6:58,418.0
52,Vpgc0jDRLJY,Introduction - Paul Teaches About the Lord's Supper - Nigerian Sign Language,"Paul Teaches About the Lord's Supper - 1 Corinthians 11:17-34
Nigerian Sign Language - CBT 100, SGH 025",PT2M36S,0:2:36,156.0
53,VDEt8YtDvHk,Topic - Paul Teaches About the Lord's Supper - Nigerian Sign Language,"Paul Teaches About the Lord's Supper - 1 Corinthians 11:17-34
Nigerian Sign Language - CBT 100, SGH 025",PT20S,0:0:20,20.0
54,RgqZS9Yb9xc,Dialogue - Paul Teaches About Marriage - Nigerian Sign Language,"Paul Teaches About Marriage - 1 Corinthians 7:1-40
Nigerian Sign Language - CBT 099, SGH 024",PT20M7S,0:20:7,1207.0
55,2zfZZE2TmFM,More Information - Paul Teaches About Marriage - Nigerian Sign Language,"Paul Teaches About Marriage - 1 Corinthians 7:1-40
Nigerian Sign Language - CBT 099, SGH 024",PT2M56S,0:2:56,176.0
56,GnuB_-ZxlqQ,Story - Paul Teaches About Marriage - Nigerian Sign Language,"Paul Teaches About Marriage - 1 Corinthians 7:1-40
Nigerian Sign Language - CBT 099, SGH 024",PT19M51S,0:19:51,1191.0
57,7KMFyOrBEFs,Introduction - Paul Teaches About Marriage - Nigerian Sign Language,"Paul Teaches About Marriage - 1 Corinthians 7:1-40
Nigerian Sign Language - CBT 099, SGH 024",PT1M9S,0:1:9,69.0
58,uF2RE10fXzA,Topic - Paul Teaches About Marriage - Nigerian Sign Language,"Paul Teaches About Marriage - 1 Corinthians 7:1-40
Nigerian Sign Language - CBT 099, SGH 024",PT20S,0:0:20,20.0
59,xgs1whUiupE,Dialogue - Avoid Sexual Sins - Nigerian Sign Language,"Avoid Sexual Sins - 1 Corinthians 6:9-20
Nigerian Sign Langauge - CBT 098, SGH 023",PT12M14S,0:12:14,734.0
60,w_fxLPt2XnE,More Information - Avoid Sexual Sins - Nigerian Sign Language,"Avoid Sexual Sins - 1 Corinthians 6:9-20
Nigerian Sign Langauge - CBT 098, SGH 023",PT3M59S,0:3:59,239.0
61,1fFlxBBsVh0,Story - Avoid Sexual Sins - Nigerian Sign Language,"Avoid Sexual Sins - 1 Corinthians 6:9-20
Nigerian Sign Langauge - CBT 098, SGH 023",PT6M34S,0:6:34,394.0
62,EyxlRkrwghI,Introduction - Avoid Sexual Sins - Nigerian Sign Language,"Avoid Sexual Sins - 1 Corinthians 6:9-20
Nigerian Sign Langauge - CBT 098, SGH 023",PT2M33S,0:2:33,153.0
63,ADqOY9PrZjw,Topic - Avoid Sexual Sins - Nigerian Sign Language,"Avoid Sexual Sins - 1 Corinthians 6:9-20
Nigerian Sign Langauge - CBT 098, SGH 023",PT13S,0:0:13,13.0
64,TjLRzpPVFME,Dialogue - Paul Preaches in Ephesus - Nigerian Sign Language,"Paul Preaches in Ephesus - Acts 19:1-20
Nigerian Sign Language - CBT 097, SGH 022",PT11M24S,0:11:24,684.0
65,dQwSKbDMu-c,More Information - Paul Preaches in Ephesus - Nigerian Sign Language,"Paul Preaches in Ephesus - Acts 19:1-20
Nigerian Sign Language - CBT 097, SGH 022",PT9M,0:9:0,540.0
